Student GPA SATmath SATverbal HSmath HSenglish
1 1.97 321 247 2.30 2.63
2 2.74 718 436 3.80 3.57
3 2.19 358 578 2.98 2.57
4 2.60 403 447 3.58 2.21
5 2.98 640 563 3.38 3.48
6 1.65 237 342 1.48 2.14
7 1.89 270 472 1.67 2.64
8 2.38 418 356 3.73 2.52
9 2.66 443 327 3.09 3.20
10 1.96 359 385 1.54 3.46
11 3.14 669 664 3.21 3.37
12 1.96 409 518 2.77 2.60
13 2.20 582 364 1.47 2.90
14 3.90 750 632 3.14 3.49
15 2.02 451 435 1.54 3.20
16 3.61 645 704 3.50 3.74
17 3.07 791 341 3.20 2.93
18 2.63 521 483 3.59 3.32
19 3.11 594 665 3.42 2.70
20 3.20 653 606 3.69 3.52
